s1_id,fn_target_id,score_if_candidate,s1_name,target_name,s1_addr,target_addr,country,was_in_candidates
S1-100014000,S3-611906109,NOT_IN_CANDIDATES,Bombay Producer Limited,બોમ્બે producer ltd,"410, Saman Complex, Opp. Nalanda Complex, Opp. Satyam Mall, Vastrapur, Satellite, Ahmedabad, Ahmadabad City, Ahmedabad, Gujarat",410 saman complex opposite nalanda complex opposite satyam mall vastrapur satellite ahmedabad ahmedabad vastrapur gj,India,False
S1-100014000,S2-698769963,NOT_IN_CANDIDATES,Bombay Producer Limited,બોમ્બે પ્રોડ્યુસર લિમિટેડ,"410, Saman Complex, Opp. Nalanda Complex, Opp. Satyam Mall, Vastrapur, Satellite, Ahmedabad, Ahmadabad City, Ahmedabad, Gujarat",410 7 saman complex opposite nalanda complex opposite satyam mall vastrapur satellite ahmedabad ahmadabad city ahmedabad gujarat,India,False
S1-100279354,S2-370318783,NOT_IN_CANDIDATES,Rabs Saree Private Limited,m s rabs saree pvt,"432-440, 3Rd Floor, Opposite Metro Pillar No. 89, Mg Road, Sultanpur, New Delhi, South West Delhi, Delhi",432 440 3rd floor opposite metro pillar no 89 mg road sultanpur new delhi दिल्ली,India,False
S1-100279354,S2-494205641,NOT_IN_CANDIDATES,Rabs Saree Private Limited,prívate rabs saree ltd,"432-440, 3Rd Floor, Opposite Metro Pillar No. 89, Mg Road, Sultanpur, New Delhi, South West Delhi, Delhi",432 440 3rd floor opposite metro pillar no 89 mg road sultanpur south west delhi new delhi delhi,India,False
S1-100356248,S3-856039661,NOT_IN_CANDIDATES,White Silver Media,వైట్ సిల్వర్ మీడియా,"#802, D.No:6-3-352/2Road No:1 Banjara Hills, Hyderabad., Telangana",no 80 d no 6 3 352 2road no 1 banjara hills hyderabad tg,India,False
S1-100799846,S3-164323894,NOT_IN_CANDIDATES,Alvarado & Loveland Source LLC,a1varado and loveland source,"16570 Wyndham Lane, Unit UNIT 3, Fontana, CA",16570 wyndham lane unit unit 3 fontana california,US,False
S1-100799846,S3-16322359,NOT_IN_CANDIDATES,Alvarado & Loveland Source LLC,alvarado loveland 5ource llc,"16570 Wyndham Lane, Unit UNIT 3, Fontana, CA",16570 wydham lane unit 3 fontana california,US,False
S1-100838619,S3-790634532,NOT_IN_CANDIDATES,Precision Value Clean,precision clean center,"4860 Taft Street, Beaumont, TX",,US,False
S1-100838619,S2-723247779,0.5089,Precision Value Clean,precision value,"4860 Taft Street, Beaumont, TX",,US,True
S1-100845178,S2-275246027,NOT_IN_CANDIDATES,Nasik Wizards,nasikwizards com,"Nasik, P/No.87. Sr No.799 Chowk No.04, Govind Nagar, Nashik, Maharashtra, Flat No.02. Shri Ganesh Hight",flat no002 shri ganesh hight p no87 sr no799 chowk no04 govind nagar nasik maharashtra,India,False
