threshold,macro_f05,precision,recall,singleton_accuracy,average_predicted_matches_per_s1,false_merges
0.5,0.846165,0.98189,0.711117,0.979335,2.476,23
0.52,0.846288,0.982692,0.710705,0.979335,2.472,23
0.54,0.846409,0.983192,0.710269,0.979335,2.469,23
0.56,0.846623,0.983791,0.709957,0.980234,2.466,22
0.58,0.846489,0.984076,0.709472,0.980234,2.463,22
0.6,0.84653,0.984459,0.709023,0.980234,2.46,22
0.62,0.846571,0.98494,0.708459,0.980234,2.456,22
0.64,0.846643,0.985538,0.707888,0.981132,2.452,21
0.66,0.846547,0.986058,0.70713,0.981132,2.447,21
0.68,0.846621,0.986929,0.706211,0.982031,2.441,20
0.7,0.846641,0.987723,0.705007,0.984726,2.434,17
0.72,0.846546,0.988392,0.704034,0.984726,2.428,17
0.74,0.846162,0.989115,0.702703,0.985624,2.421,16
0.76,0.846032,0.989664,0.701775,0.985624,2.415,16
0.78,0.845678,0.990157,0.700554,0.986523,2.409,15
0.8,0.845313,0.990946,0.699132,0.987421,2.402,14
0.82,0.844366,0.991867,0.69701,0.987421,2.392,14
0.84,0.842948,0.993159,0.693689,0.98832,2.376,13
0.86,0.841201,0.994631,0.689027,0.990117,2.354,11
0.88,0.838776,0.995986,0.683504,0.991015,2.329,10
0.9,0.837514,0.996552,0.680686,0.991015,2.316,10
0.92,0.836483,0.997072,0.678583,0.991914,2.307,9
0.94,0.834978,0.997346,0.676064,0.991914,2.297,9
0.96,0.831735,0.99789,0.670985,0.993711,2.277,7
0.98,0.824106,0.998689,0.65926,0.995508,2.23,5
